iter	Passed	Remaining
401	15590	372244
402	15629	372199
403	15666	372129
404	15706	372101
405	15745	372067
406	15784	372032
407	15823	372013
408	15862	371969
409	15900	371925
410	15937	371837
411	15972	371714
412	16011	371681
413	16049	371625
414	16088	371580
415	16126	371533
416	16165	371498
417	16205	371480
418	16245	371484
419	16283	371421
420	16322	371386
421	16357	371266
422	16396	371218
423	16434	371167
424	16472	371116
425	16513	371127
426	16549	371019
427	16588	370992
428	16628	370972
429	16665	370915
430	16704	370869
431	16745	370873
432	16784	370846
433	16823	370825
434	16862	370787
435	16900	370728
436	16939	370694
437	16978	370650
438	17019	370674
439	17061	370702
440	17102	370716
441	17141	370680
442	17180	370646
443	17217	370562
444	17257	370542
445	17297	370528
446	17336	370512
447	17377	370503
448	17414	370438
449	17454	370413
450	17493	370391
451	17534	370397
452	17574	370376
453	17612	370322
454	17654	370353
455	17693	370320
456	17733	370305
457	17772	370282
458	17812	370249
459	17850	370200
460	17889	370162
461	17930	370165
462	17971	370180
463	18010	370146
464	18049	370113
465	18091	370145
466	18132	370136
467	18173	370146
468	18212	370118
469	18252	370107
470	18292	370088
471	18331	370054
472	18371	370029
473	18411	370008
474	18449	369965
475	18487	369912
476	18527	369890
477	18567	369866
478	18608	369869
479	18647	369837
480	18689	369874
481	18730	369870
482	18769	369830
483	18808	369801
484	18847	369757
485	18885	369710
486	18926	369712
487	18968	369725
488	19005	369656
489	19044	369619
490	19084	369597
491	19124	369582
492	19162	369534
493	19201	369493
494	19240	369449
495	19278	369393
496	19318	369386
497	19357	369341
498	19396	369317
499	19436	369284
500	19473	369226
501	19512	369183
502	19554	369206
503	19592	369152
504	19631	369103
505	19671	369091
506	19709	369044
507	19745	368948
508	19784	368905
509	19821	368841
510	19856	368732
511	19896	368709
512	19937	368710
513	19976	368663
514	20015	368631
515	20054	368599
516	20093	368568
517	20134	368554
518	20172	368508
519	20211	368471
520	20252	368476
521	20291	368440
522	20332	368436
523	20371	368400
524	20409	368337
525	20449	368321
526	20488	368292
527	20528	368262
528	20567	368224
529	20607	368214
530	20648	368218
531	20687	368172
532	20726	368138
533	20767	368136
534	20806	368107
535	20845	368056
536	20884	368018
537	20922	367974
538	20962	367956
539	21003	367951
540	21041	367903
541	21080	367862
542	21122	367876
543	21162	367849
544	21201	367823
545	21240	367776
546	21277	367705
547	21317	367693
