iter	Logloss
0	0.6420434375
5	0.445945
10	0.3372213542
15	0.2771535417
20	0.243723724
25	0.2225471094
30	0.2087608203
35	0.1991369271
40	0.192596263
45	0.1877514193
50	0.1841034635
55	0.1811982552
60	0.1788476042
65	0.1769650781
70	0.1754822917
75	0.1737436198
80	0.1723105729
85	0.1710592057
90	0.1699388802
95	0.1690903646
100	0.168131901
105	0.1673384245
110	0.1665401302
115	0.1656241016
120	0.1648152995
125	0.1643112109
130	0.1637077083
135	0.1631113281
140	0.1626009375
145	0.1622460807
150	0.1618529948
155	0.1614488151
160	0.161034401
165	0.160666849
170	0.1603333984
175	0.1599793099
180	0.1596916667
185	0.1594340625
190	0.1590839714
195	0.158886276
200	0.1586033984
205	0.1582542448
210	0.1579943229
215	0.1576816536
220	0.157458737
225	0.157198151
230	0.1569361458
235	0.1566985938
240	0.1565314193
245	0.1563391536
250	0.1561591667
255	0.1558997656
260	0.1557178516
265	0.1554804557
270	0.1553712109
275	0.1551840495
280	0.1549948437
285	0.1548027474
290	0.1546340234
295	0.1544519401
300	0.154230599
305	0.15411125
310	0.1539847135
315	0.1538358594
320	0.1537201953
325	0.1536141276
330	0.1534922786
335	0.1533630469
340	0.1532264453
345	0.1531276823
350	0.1530154297
355	0.1528863151
360	0.1527757292
365	0.1526564193
370	0.1525552865
375	0.1524483464
380	0.1523323437
385	0.1521955859
390	0.1520948958
395	0.1519917708
400	0.1518841536
405	0.1517859635
410	0.1516980599
415	0.1516080859
420	0.1514989583
425	0.1514005078
430	0.1513157682
435	0.1512451302
440	0.1511526693
445	0.1510655729
450	0.1509954036
455	0.1509244531
460	0.150838724
465	0.1507616146
470	0.1506522656
475	0.150588737
480	0.1505029427
485	0.1504396745
490	0.1503646484
495	0.1503002214
500	0.1502485937
505	0.1501888151
510	0.1501225391
515	0.1500427865
520	0.1499798698
525	0.1499076172
530	0.1498444141
535	0.1497803385
540	0.1497216927
545	0.1496664193
550	0.1495950781
555	0.1495353516
560	0.1494599479
565	0.1493989974
570	0.1493373437
575	0.1492692187
580	0.1492017187
585	0.1491364583
590	0.1490677995
595	0.1489971615
600	0.1489236458
605	0.1488586328
610	0.1488083333
615	0.1487517969
620	0.1486714844
625	0.1486096875
630	0.1485561979
635	0.1485102604
640	0.1484608854
645	0.1483989453
650	0.148345651
655	0.1482794141
